name,KeyCode,TimeClick,TimeNext,ID
Patryk,69,80,96,1
Patryk,68,48,257,1
Patryk,73,64,223,1
Patryk,84,48,176,1
Patryk,32,80,1360,1
Patryk,66,64,304,1
Patryk,69,64,224,1
Patryk,76,63,177,1
Patryk,79,64,175,1
Patryk,78,64,208,1
Patryk,71,64,128,1
Patryk,83,80,272,1
Patryk,32,80,480,1
Patryk,84,48,400,1
Patryk,79,48,176,1
Patryk,32,64,128,1
Patryk,84,79,401,1
Patryk,72,48,144,1
Patryk,69,80,255,1
Patryk,32,81,176,1
Patryk,77,64,129,1
Patryk,65,96,143,1
Patryk,78,49,160,1
Patryk,32,79,145,1
Patryk,87,80,511,1
Patryk,72,48,320,1
Patryk,79,63,113,1
Patryk,32,64,176,1
Patryk,73,48,159,1
Patryk,83,79,161,1
Patryk,32,64,271,1
Patryk,65,96,288,1
Patryk,67,65,241,1
Patryk,84,64,431,1
Patryk,85,48,224,1
Patryk,65,64,208,1
Patryk,76,64,256,1
Patryk,76,48,144,1
Patryk,89,64,273,1
Patryk,32,80,239,1
Patryk,73,48,624,1
Patryk,78,48,176,1
Patryk,32,80,192,1
Patryk,84,64,256,1
Patryk,72,62,561,1
Patryk,69,97,143,1
Patryk,32,96,112,1
Patryk,65,95,257,1
Patryk,82,64,239,1
Patryk,69,64,192,1
Patryk,78,64,208,1
Patryk,65,64,192,1
Patryk,32,79,449,1
Patryk,8,95,432,1
Patryk,188,64,287,1
Patryk,32,80,112,1
Patryk,87,65,224,1
Patryk,72,64,192,1
Patryk,79,64,272,1
Patryk,83,48,480,1
Patryk,69,64,192,1
Patryk,32,64,224,1
Patryk,70,64,288,1
Patryk,65,111,113,1
Patryk,67,63,176,1
Patryk,69,64,175,1
Patryk,32,64,96,1
Patryk,73,64,256,1
Patryk,83,64,112,1
Patryk,32,95,144,1
Patryk,77,64,1472,1
Patryk,65,80,224,1
Patryk,82,64,432,1
Patryk,82,80,160,1
Patryk,69,79,192,1
Patryk,68,48,288,1
Patryk,32,64,192,1
Patryk,66,48,352,1
Patryk,89,64,336,1
Patryk,32,80,112,1
Patryk,68,80,224,1
Patryk,85,64,240,1
Patryk,83,48,144,1
Patryk,84,47,240,1
Patryk,32,96,176,1
Patryk,65,79,640,1
Patryk,78,64,160,1
Patryk,68,64,192,1
Patryk,32,79,160,1
Patryk,83,48,352,1
Patryk,87,48,272,1
Patryk,69,64,208,1
Patryk,65,64,176,1
Patryk,84,64,176,1
Patryk,32,80,288,1
Patryk,65,64,576,1
Patryk,78,64,176,1
Patryk,68,63,193,1
Patryk,32,79,128,1
Patryk,66,48,271,1
Patryk,76,64,256,1
Patryk,79,48,240,1
Patryk,79,31,160,1
Patryk,68,79,241,1
Patryk,59,65,719,1
Patryk,32,32,512,1
Patryk,8,79,400,1
Patryk,87,64,192,1
Patryk,72,80,112,1
Patryk,79,64,288,1
Patryk,32,79,641,1
Patryk,83,80,239,1
Patryk,84,144,288,1
Patryk,82,48,112,1
Patryk,73,64,144,1
Patryk,86,79,192,1
Patryk,69,63,304,1
Patryk,83,64,256,1
Patryk,32,95,224,1
Patryk,86,79,912,1
Patryk,65,64,224,1
Patryk,76,64,192,1
Patryk,73,64,240,1
Patryk,65,64,592,1
Patryk,78,47,208,1
Patryk,84,48,304,1
Patryk,76,64,320,1
Patryk,89,48,304,1
Patryk,59,79,1536,1
Patryk,32,242,129,1
Patryk,87,40,247,1
Patryk,72,48,120,1
Patryk,79,64,720,1
Patryk,32,64,192,1
Patryk,69,64,288,1
Patryk,82,48,240,1
Patryk,82,48,128,1
Patryk,83,64,240,1
Patryk,188,63,1264,1
Patryk,32,47,161,1
Patryk,87,48,191,1
Patryk,72,47,176,1
Patryk,79,80,256,1
Patryk,32,96,543,1
Patryk,67,79,465,1
Patryk,79,64,112,1
Patryk,77,63,176,1
Patryk,69,48,112,1
Patryk,83,48,192,1
Patryk,32,79,208,1
Patryk,65,79,336,1
Patryk,72,64,432,1
Patryk,79,64,240,1
Patryk,82,80,144,1
Patryk,84,64,192,1
Patryk,32,96,128,1
Patryk,65,96,224,1
Patryk,71,64,208,1
Patryk,65,64,192,1
Patryk,73,64,128,1
Patryk,78,64,192,1
Patryk,32,80,1008,1
Patryk,65,64,208,1
Patryk,78,64,288,1
Patryk,68,64,144,1
Patryk,32,31,208,1
Patryk,65,79,144,1
Patryk,71,80,304,1
Patryk,65,64,223,1
Patryk,73,63,145,1
Patryk,78,47,192,1
Patryk,188,64,576,1
Patryk,32,48,304,1
Patryk,66,48,144,1
Patryk,69,64,112,1
Patryk,67,79,224,1
Patryk,65,65,207,1
Patryk,85,48,257,1
Patryk,83,80,111,1
Patryk,69,64,209,1
Patryk,32,64,608,1
Patryk,84,96,416,1
Patryk,72,64,160,1
Patryk,69,112,192,1
Patryk,82,96,80,1
Patryk,69,64,704,1
Patryk,32,64,223,1
Patryk,73,63,145,1
Patryk,83,97,143,1
Patryk,32,80,689,1
Patryk,78,63,208,1
Patryk,79,63,257,1
Patryk,32,64,159,1
Patryk,69,65,303,1
Patryk,70,49,224,1
Patryk,70,65,144,1
Patryk,79,64,209,1
Patryk,82,64,144,1
Patryk,84,49,191,1
Patryk,32,79,609,1
Patryk,87,64,223,1
Patryk,73,47,449,1
Patryk,84,63,160,1
Patryk,72,64,271,1
Patryk,79,64,337,1
Patryk,85,64,240,1
Patryk,82,64,160,1
Patryk,32,96,159,1
Patryk,8,63,449,1
Patryk,8,81,831,1
Patryk,84,64,145,1
Patryk,32,97,159,1
Patryk,69,64,385,1
Patryk,82,31,240,1
Patryk,82,64,144,1
Patryk,79,64,160,1
Patryk,82,48,128,1
Patryk,32,80,192,1
Patryk,65,79,832,1
Patryk,78,48,224,1
Patryk,68,64,128,1
Patryk,32,64,256,1
Patryk,83,79,448,1
Patryk,72,47,240,1
Patryk,79,47,272,1
Patryk,82,65,95,1
Patryk,84,48,176,1
Patryk,67,95,1041,1
Patryk,79,47,192,1
Patryk,77,47,224,1
Patryk,73,64,192,1
Patryk,78,63,192,1
Patryk,71,64,207,1
Patryk,32,79,593,1
Patryk,66,31,256,1
Patryk,85,64,223,1
Patryk,84,64,161,1
Patryk,32,96,144,1
Patryk,87,64,271,1
Patryk,72,48,177,1
Patryk,79,80,816,1
Patryk,32,80,175,1
Patryk,68,81,240,1
Patryk,79,64,161,1
Patryk,69,64,304,1
Patryk,83,64,207,1
Patryk,32,80,225,1
Patryk,65,79,256,1
Patryk,67,48,272,1
Patryk,84,64,448,1
Patryk,85,64,224,1
Patryk,65,80,127,1
Patryk,76,47,241,1
Patryk,76,33,159,1
Patryk,89,64,161,1
Patryk,32,80,400,1
Patryk,83,64,511,1
Patryk,84,112,241,1
Patryk,82,79,64,1
Patryk,73,64,191,1
Patryk,67,63,193,1
Patryk,8,64,351,1
Patryk,86,47,97,1
Patryk,69,80,175,1
Patryk,32,64,192,1
Patryk,84,80,640,1
Patryk,79,64,192,1
Patryk,32,96,112,1
Patryk,68,81,2112,1
Patryk,79,64,240,1
Patryk,32,64,176,1
Patryk,84,63,353,1
Patryk,72,48,1184,1
Patryk,69,80,208,1
Patryk,32,80,127,1
Patryk,68,79,241,1
Patryk,68,63,432,1
Patryk,8,80,655,1
Patryk,69,63,177,1
Patryk,69,65,367,1
Patryk,83,81,240,1
Patryk,8,65,288,1
Patryk,68,112,113,1
Patryk,83,97,79,1
Patryk,59,80,800,1
Patryk,32,96,128,1
Patryk,87,81,208,1
Patryk,72,48,209,1
Patryk,79,64,431,1
Patryk,32,95,289,1
Patryk,75,79,624,1
Patryk,78,64,271,1
Patryk,87,80,144,1
Patryk,79,64,113,1
Patryk,83,64,144,1
Patryk,32,80,655,1
Patryk,71,79,417,1
Patryk,82,96,239,1
Patryk,69,49,272,1
Patryk,65,97,288,1
Patryk,84,80,240,1
Patryk,32,113,208,1
Patryk,65,64,352,1
Patryk,8,79,289,1
Patryk,69,65,111,1
Patryk,78,48,160,1
Patryk,84,79,401,1
Patryk,72,64,319,1
Patryk,85,64,1392,1
Patryk,83,65,240,1
Patryk,73,194,240,1
Patryk,65,64,257,1
Patryk,83,63,768,1
Patryk,77,63,128,1
Patryk,83,49,479,1
Patryk,188,64,641,1
Patryk,32,64,128,1
Patryk,84,111,304,1
Patryk,72,31,144,1
Patryk,69,159,304,1
Patryk,32,96,144,1
Patryk,71,145,287,1
Patryk,82,96,112,1
Patryk,69,80,352,1
Patryk,65,79,225,1
Patryk,84,48,239,1
